User,Artist,Plays
User 57,placebo,3606
User 57,coldplay,3297
User 57,linkin park,1761
User 57,oasis,1551
User 57,u2,1469
User 57,the shins,1348
User 57,koЯn,1338
User 57,the beatles,1158
User 57,nirvana,1081
User 57,system of a down,1057
User 57,tool,952
User 58,dream theater,12102
User 58,opeth,12027
User 58,pink floyd,11503
User 58,slipknot,6617
User 58,porcupine tree,6402
User 58,queen,3085
User 58,system of a down,2232
User 58,led zeppelin,2102
User 58,sigur rós,1702
User 58,rammstein,1547
User 58,pearl jam,1504
User 58,coldplay,1495
User 58,depeche mode,1369
User 58,red hot chili peppers,1313
User 58,nirvana,1265
User 58,tool,1046
User 58,a perfect circle,1041
User 58,radiohead,1018
User 58,green day,684
User 59,in flames,14453
User 59,tool,7269
User 59,marilyn manson,7077
User 59,koЯn,6572
User 59,placebo,5218
User 59,a perfect circle,4454
User 59,the offspring,3955
User 59,rage against the machine,3803
User 59,the smashing pumpkins,3451
User 59,nofx,3035
User 59,incubus,2452
User 59,metallica,2262
User 59,nirvana,2058
User 59,nightwish,2008
User 59,rammstein,1928
User 60,system of a down,8448
User 60,portishead,7003
User 60,linkin park,6746
User 60,tori amos,5949
User 60,depeche mode,4959
User 60,the cure,4800
User 60,koЯn,4797
User 60,rammstein,4336
User 60,disturbed,3981
User 60,u2,3317
User 60,gorillaz,3038
User 60,marilyn manson,2732
User 60,nine inch nails,2057
User 60,massive attack,1985
User 60,nightwish,1919
User 60,pink floyd,1728
User 60,the prodigy,1669
User 61,the smashing pumpkins,15264
User 61,slipknot,10816
User 61,pink floyd,9045
User 61,linkin park,4818
User 61,koЯn,4598
User 61,the beatles,3136
User 61,gorillaz,3102
User 61,the doors,2974
User 61,metallica,2239
User 61,queen,1707
User 61,led zeppelin,1679
User 61,evanescence,1663
User 61,disturbed,1571
User 61,nirvana,1566
User 61,red hot chili peppers,1526
User 61,my chemical romance,1308
User 61,system of a down,1123
User 61,r.e.m.,986
User 62,in flames,13188
User 62,metallica,10681
User 62,slipknot,10382
User 62,nightwish,10355
User 62,linkin park,8550
User 62,children of bodom,3596
User 62,muse,2499
User 62,disturbed,1885
User 62,johnny cash,1404
User 62,the prodigy,1246
User 62,evanescence,1200
User 62,iron maiden,988
User 62,blink-182,852
User 62,opeth,736
User 62,marilyn manson,727
User 62,koЯn,531
User 63,placebo,14462
User 63,nofx,9901
User 63,system of a down,8815
User 63,muse,7057
User 63,the killers,6749
User 63,green day,5496
User 63,the prodigy,3758
User 63,the offspring,3389
User 63,foo fighters,2446
User 63,johnny cash,2243
User 63,nirvana,2020
User 63,the smashing pumpkins,2001
User 64,the beatles,31526
User 64,led zeppelin,18813
User 64,pink floyd,5882
User 64,bob dylan,3223
User 64,the doors,2675
User 64,queen,2621
User 64,the rolling stones,1519
User 64,david bowie,968
User 64,u2,800
User 65,muse,47468
User 65,coldplay,6051
User 65,bloc party,4875
User 65,tegan and sara,3630
User 65,kings of leon,2529
User 65,the killers,1890
User 65,radiohead,489
User 65,the kooks,368
User 65,blink-182,234
User 65,foo fighters,201
User 65,system of a down,199
User 65,franz ferdinand,86
User 66,system of a down,18735
User 66,rammstein,15577
User 66,bloc party,11474
User 66,beck,2545
User 66,koЯn,2482
User 66,the beatles,2285
User 66,rage against the machine,2203
User 66,daft punk,1785
User 66,paramore,1738
User 66,my chemical romance,1429
User 66,the killers,1377
User 66,gorillaz,1306
User 66,linkin park,1152
User 66,the shins,1033
User 66,pink floyd,1022
User 66,death cab for cutie,994
User 67,tool,58152
User 67,pink floyd,2442
User 67,a perfect circle,2403
User 67,incubus,2358
User 67,blink-182,1012
User 67,linkin park,764
User 68,opeth,16989
User 68,iron maiden,10200
User 68,metallica,10016
User 68,dream theater,6918
User 68,sonata arctica,5274
User 68,porcupine tree,4925
User 68,children of bodom,4066
User 68,in flames,2528
User 68,oasis,2199
User 68,sufjan stevens,1170
User 68,rage against the machine,1019
User 68,megadeth,872
User 69,coldplay,19210
User 69,linkin park,12953
User 69,muse,8094
User 69,the killers,7570
User 69,the prodigy,5365
User 69,nine inch nails,2286
User 69,queens of the stone age,2114
User 69,arctic monkeys,2001
User 69,kanye west,1491
User 69,koЯn,1075
User 69,depeche mode,706
User 69,evanescence,572
User 69,placebo,543
User 69,bloc party,435
User 69,moby,420
User 69,eminem,335
User 69,gorillaz,302
User 69,fall out boy,270
User 69,my chemical romance,209
User 70,in flames,31932
User 70,metallica,14423
User 70,rammstein,9857
User 70,linkin park,3415
User 70,koЯn,2593
User 70,disturbed,2121
User 70,tool,1232
User 71,oasis,60618
User 71,the beatles,2908
User 71,the kooks,292
User 71,red hot chili peppers,208
User 71,franz ferdinand,164
User 71,the strokes,157
User 71,coldplay,150
User 71,death cab for cutie,149
User 71,muse,134
User 71,arctic monkeys,120
User 71,the clash,71
User 71,u2,60
User 71,interpol,58
User 71,the cure,25
User 72,the beatles,36072
User 72,paramore,12321
User 72,avril lavigne,11247
User 72,my chemical romance,2893
User 72,foo fighters,1120
User 72,metallica,969
User 73,muse,15667
User 73,red hot chili peppers,7533
User 73,oasis,4689
User 73,the killers,4006
User 73,radiohead,3984
User 73,the strokes,3276
User 73,the beatles,2823
User 73,nirvana,2370
User 73,depeche mode,2204
User 73,the doors,1696
User 73,pink floyd,1662
User 73,coldplay,1553
User 73,metallica,1508
User 73,rammstein,1465
User 73,franz ferdinand,1279
User 73,ac/dc,1223
User 73,placebo,1153
User 73,foo fighters,1105
User 73,death cab for cutie,834
User 73,u2,794
User 73,queen,771
User 73,incubus,692
User 73,kings of leon,574
User 73,led zeppelin,543
User 73,arctic monkeys,490
User 73,r.e.m.,455
User 74,metallica,18256
User 74,dream theater,15778
User 74,megadeth,8601
User 74,the offspring,8600
User 74,bad religion,5521
User 74,u2,2720
User 74,massive attack,1893
User 74,system of a down,1438
User 74,daft punk,1351
User 75,tori amos,32391
User 75,nine inch nails,11424
User 75,foo fighters,3234
User 75,queens of the stone age,1991
User 75,u2,1280
User 75,a perfect circle,1190
User 75,nirvana,1159
User 75,incubus,1074
User 75,kings of leon,1051
User 75,placebo,845
User 75,björk,834
User 75,david bowie,759
User 75,depeche mode,739
User 75,tool,713
User 75,the smiths,695
User 75,the cure,563
User 75,coldplay,529
User 75,joy division,527
User 75,marilyn manson,512
User 75,the killers,489
User 75,bloc party,429
User 75,massive attack,428
User 75,the kooks,394
User 75,the smashing pumpkins,379
User 75,amy winehouse,374
User 76,fall out boy,31113
User 76,britney spears,16538
User 76,arctic monkeys,4549
User 76,red hot chili peppers,2953
User 76,the white stripes,1279
User 76,kanye west,1247
User 76,franz ferdinand,1040
User 76,blink-182,911
User 76,eminem,798
User 76,gorillaz,671
User 76,linkin park,635
User 76,green day,561
User 76,the kooks,347
User 76,oasis,135
User 76,madonna,119
User 76,muse,99
User 76,the prodigy,98
User 76,u2,95
User 76,daft punk,93
User 76,the killers,87
User 77,nightwish,17256
User 77,iron maiden,11764
User 77,in flames,8765
User 77,metallica,8511
User 77,children of bodom,5214
User 77,koЯn,4122
User 77,sonata arctica,4073
User 77,opeth,3616
User 78,bob dylan,29638
User 78,the beatles,15092
User 78,david bowie,7149
User 78,the white stripes,4055
User 78,the rolling stones,2829
User 78,red hot chili peppers,988
User 78,johnny cash,946
User 78,the clash,684
User 78,bright eyes,502
User 78,u2,357
User 78,rage against the machine,334
User 78,sufjan stevens,293
User 78,depeche mode,232
User 79,pink floyd,31957
User 79,the beatles,14975
User 79,the doors,9737
User 79,avril lavigne,3568
User 79,the rolling stones,1827
User 79,bob dylan,100
User 79,arctic monkeys,89
User 79,led zeppelin,61
User 79,the white stripes,58
User 80,coldplay,31121
User 80,radiohead,18652
User 80,björk,4839
User 80,amy winehouse,2060
User 80,the prodigy,839
User 80,muse,690
User 80,placebo,604
User 80,sigur rós,481
User 80,avril lavigne,423
User 80,u2,352
User 80,oasis,315
User 80,air,299
User 80,portishead,282
User 80,kanye west,229
User 80,moby,196
User 80,the killers,174
User 80,green day,162
User 80,nirvana,139
User 80,madonna,136
User 80,pixies,93
User 81,placebo,14103
User 81,the cure,5624
User 81,the killers,5117
User 81,the strokes,4720
User 81,joy division,4328
User 81,muse,3699
User 81,the clash,3586
User 81,arctic monkeys,2719
User 81,pixies,2684
User 81,rise against,2325
User 81,nirvana,1652
User 81,the beatles,1524
User 81,modest mouse,1452
User 81,radiohead,1318
User 81,marilyn manson,1257
User 81,u2,1111
User 81,tegan and sara,1048
User 81,queens of the stone age,1042
User 81,interpol,1007
User 81,franz ferdinand,863
User 81,the smiths,822
User 82,radiohead,9059
User 82,led zeppelin,7202
User 82,kanye west,6543
User 82,nofx,4985
User 82,the strokes,4242
User 82,the smashing pumpkins,3757
User 82,tool,3616
User 82,queen,3362
User 82,bob dylan,3232
User 82,johnny cash,3174
User 82,foo fighters,2315
User 82,björk,2292
User 82,sigur rós,2152
User 82,the rolling stones,2081
User 82,the killers,1902
User 82,the doors,1580
User 83,nofx,22463
User 83,green day,8943
User 83,blink-182,7290
User 83,slipknot,5510
User 83,death cab for cutie,2818
User 83,the strokes,1922
User 83,fall out boy,1827
User 83,foo fighters,1635
User 83,oasis,1582
User 83,red hot chili peppers,1489
User 83,jack johnson,1252
User 83,system of a down,1047
User 83,the white stripes,1019
User 83,franz ferdinand,847
User 83,queens of the stone age,839
User 83,the doors,711
User 84,nine inch nails,27008
User 84,marilyn manson,6884
User 84,a perfect circle,4318
User 84,coldplay,3640
User 84,depeche mode,2754
User 84,muse,2748
User 84,disturbed,2491
User 84,david bowie,2460
User 84,the cure,2067
User 84,tool,1574
User 84,koЯn,1549
User 84,linkin park,1089
User 84,the smashing pumpkins,602
User 84,kanye west,547
User 84,placebo,499
User 84,iron maiden,404
User 84,nirvana,398
User 85,britney spears,60330
User 85,madonna,124
User 86,nine inch nails,8123
User 86,tool,7424
User 86,a perfect circle,4274
User 86,pearl jam,3865
User 86,porcupine tree,3839
User 86,koЯn,3670
User 86,system of a down,3606
User 86,bloc party,3596
User 86,queens of the stone age,3437
User 86,foo fighters,3222
User 86,disturbed,2369
User 86,the smashing pumpkins,2293
User 86,rage against the machine,2045
User 86,metallica,1882
User 86,pink floyd,1839
User 86,pixies,1710
User 86,red hot chili peppers,1336
User 86,led zeppelin,950
User 86,nirvana,797
User 87,system of a down,11538
User 87,rammstein,10326
User 87,placebo,7953
User 87,arctic monkeys,6821
User 87,the strokes,3478
User 87,the white stripes,3446
User 87,koЯn,2906
User 87,the killers,2835
User 87,my chemical romance,1955
User 87,johnny cash,1552
User 87,bloc party,1458
User 87,green day,1087
User 87,incubus,1054
User 87,the offspring,1037
User 87,the beatles,810
User 87,red hot chili peppers,636
User 87,nirvana,632
User 87,metallica,516
User 88,bob dylan,27656
User 88,tom waits,13233
User 88,the strokes,7763
User 88,led zeppelin,6925
User 88,the beatles,4331
User 89,muse,44076
User 89,interpol,4748
User 89,placebo,2433
User 89,franz ferdinand,1352
User 89,arctic monkeys,1301
User 89,bloc party,1069
User 89,coldplay,962
User 89,radiohead,903
User 89,sigur rós,642
User 89,arcade fire,411
User 89,the white stripes,287
User 89,foo fighters,253
User 89,the killers,216
User 89,queen,215
User 89,oasis,211
User 89,modest mouse,170
User 89,system of a down,157
User 89,the smiths,147
User 90,madonna,53969
User 90,david bowie,3104
User 90,radiohead,1163
User 90,portishead,480
User 90,britney spears,432
User 90,amy winehouse,256
User 90,coldplay,123
User 91,system of a down,10805
User 91,linkin park,7739
User 91,nightwish,6596
User 91,slipknot,6175
User 91,disturbed,4488
User 91,franz ferdinand,4172
User 91,jack johnson,4100
User 91,red hot chili peppers,2807
User 91,blink-182,2563
User 91,eminem,2535
User 91,coldplay,2504
User 91,nirvana,2469
User 91,koЯn,2465
User 92,oasis,45099
User 92,the strokes,2614
User 92,placebo,2597
User 92,death cab for cutie,1699
User 92,coldplay,985
User 92,belle and sebastian,926
User 92,britney spears,795
User 92,elliott smith,727
User 92,madonna,593
User 92,the killers,585
User 92,daft punk,572
User 92,the kooks,444
User 92,the smashing pumpkins,322
User 92,amy winehouse,286
User 92,massive attack,261
User 92,foo fighters,241
User 92,the smiths,232
User 92,fall out boy,216
User 93,ac/dc,45245
User 93,marilyn manson,3129
User 93,slipknot,2878
User 93,rammstein,2499
User 93,u2,1903
User 93,the prodigy,1438
User 93,children of bodom,981
User 93,sonata arctica,850
User 94,the beatles,9229
User 94,red hot chili peppers,6699
User 94,bob dylan,5608
User 94,pink floyd,3796
User 94,led zeppelin,3645
User 94,joy division,2894
User 94,the doors,2776
User 94,radiohead,2531
User 94,queens of the stone age,2346
User 94,kings of leon,2106
User 94,muse,2096
User 94,incubus,1905
User 94,jack johnson,1590
User 94,the kooks,1579
User 94,arctic monkeys,1531
User 94,death cab for cutie,1495
User 94,pixies,1474
User 94,the smashing pumpkins,1339
User 94,modest mouse,1254
User 94,nine inch nails,953
User 94,beck,940
User 94,bloc party,865
User 95,pink floyd,13402
User 95,radiohead,6908
User 95,the doors,6187
User 95,massive attack,6145
User 95,portishead,6021
User 95,pixies,3980
User 95,opeth,2137
User 95,tool,1676
User 95,queen,1660
User 95,led zeppelin,1449
User 95,placebo,1253
User 95,the rolling stones,1199
User 95,dream theater,1106
User 95,rammstein,1034
User 95,depeche mode,943
User 95,tori amos,916
User 95,iron maiden,877
User 95,ac/dc,871
User 95,porcupine tree,863
User 96,the killers,9623
User 96,bloc party,8556
User 96,fall out boy,5368
User 96,evanescence,5247
User 96,the beatles,5148
User 96,madonna,3838
User 96,kings of leon,3003
User 96,foo fighters,2946
User 96,u2,2432
User 96,coldplay,2413
User 96,britney spears,1971
User 96,incubus,1753
User 96,red hot chili peppers,1713
User 96,daft punk,1529
User 96,linkin park,1520
User 96,avril lavigne,1493
User 97,marilyn manson,51992
User 97,the killers,1274
User 97,fall out boy,1117
User 97,muse,791
User 97,my chemical romance,719
User 97,depeche mode,398
User 97,ramones,350
User 97,the smashing pumpkins,272
User 97,foo fighters,226
User 97,green day,205
User 97,incubus,165
User 97,linkin park,163
User 97,rise against,149
User 97,arctic monkeys,142
User 97,red hot chili peppers,138
User 97,system of a down,120
User 97,nofx,103
User 97,blink-182,92
User 98,the smiths,13120
User 98,interpol,8955
User 98,the cure,8683
User 98,the clash,7715
User 98,arcade fire,6278
User 98,joy division,3921
User 98,the shins,2611
User 98,david bowie,2375
User 98,pixies,2217
User 98,ramones,2037
User 99,tegan and sara,55296
User 99,death cab for cutie,1397
User 99,kings of leon,542
User 99,bright eyes,276
User 99,placebo,196
User 99,nirvana,153
User 100,tori amos,33178
User 100,red hot chili peppers,5301
User 100,porcupine tree,3810
User 100,pink floyd,3518
User 100,pearl jam,3163
User 100,disturbed,1240
User 100,nine inch nails,1095
User 100,iron maiden,973
User 100,the offspring,759
User 100,ac/dc,740
User 100,nirvana,705
User 100,metallica,670
User 100,rage against the machine,443
User 100,u2,388
User 100,nightwish,342
User 100,rammstein,333
User 100,dream theater,279
User 100,radiohead,230
User 100,the smashing pumpkins,226
User 100,megadeth,215
User 101,iron maiden,22432
User 101,dream theater,5492
User 101,koЯn,4891
User 101,system of a down,4398
User 101,rammstein,4159
User 101,nightwish,3611
User 101,slipknot,2692
User 101,metallica,1932
User 101,children of bodom,1652
User 101,megadeth,1417
User 101,linkin park,1306
User 101,in flames,1080
User 101,green day,1079
User 101,marilyn manson,815
User 101,evanescence,621
User 102,muse,17751
User 102,bloc party,5159
User 102,arctic monkeys,4668
User 102,the killers,4508
User 102,green day,2583
User 102,radiohead,2374
User 102,moby,2371
User 102,red hot chili peppers,2145
User 102,u2,1984
User 102,gorillaz,1837
User 102,coldplay,1678
User 102,fall out boy,1568
User 102,the prodigy,1404
User 102,the kooks,1318
User 102,avril lavigne,1305
User 102,franz ferdinand,1196
User 102,oasis,1109
User 102,the white stripes,989
User 102,massive attack,862
User 102,eminem,727
User 103,arctic monkeys,45832
User 103,daft punk,3218
User 103,coldplay,1797
User 103,madonna,1128
User 103,muse,896
User 103,britney spears,893
User 103,the killers,718
User 103,fall out boy,632
User 103,the beatles,619
User 103,death cab for cutie,434
User 103,oasis,386
User 103,franz ferdinand,343
User 103,interpol,320
User 103,the strokes,314
User 104,rise against,40485
User 104,red hot chili peppers,7768
User 104,kanye west,1808
User 104,linkin park,1128
User 104,the kooks,1043
User 104,arctic monkeys,974
User 104,david bowie,720
User 104,tegan and sara,716
User 104,nirvana,661
User 104,coldplay,656
User 104,the offspring,498
User 104,eminem,484
User 105,the smashing pumpkins,43173
User 105,blink-182,10199
User 105,nirvana,2024
User 105,beck,285
User 105,paramore,253
User 105,the cure,186
User 105,nofx,135
User 105,pearl jam,97
User 105,tool,81
User 105,nine inch nails,70
User 105,my chemical romance,64
User 105,slipknot,64
User 105,death cab for cutie,62
User 105,green day,62
User 105,the white stripes,59
User 106,nightwish,43485
User 106,disturbed,2300
User 106,rage against the machine,1644
User 106,pink floyd,1598
User 106,queen,1038
User 106,tool,1024
User 106,nine inch nails,807
User 106,evanescence,799
User 106,koЯn,776
User 106,green day,759
User 106,muse,594
User 106,red hot chili peppers,504
User 106,the offspring,482
User 106,pearl jam,433
User 106,bad religion,428
User 107,r.e.m.,5265
User 107,pixies,5079
User 107,queen,4425
User 107,u2,3476
User 107,rammstein,3442
User 107,pink floyd,3323
User 107,radiohead,2798
User 107,the rolling stones,2665
User 107,david bowie,2660
User 107,ramones,2641
User 107,pearl jam,2424
User 107,rage against the machine,2259
User 107,bob dylan,2245
User 107,the clash,2175
User 107,coldplay,2164
User 107,iron maiden,2030
User 107,oasis,1976
User 107,the doors,1889
User 107,metallica,1810
User 107,ac/dc,1772
User 108,the beatles,9004
User 108,led zeppelin,5109
User 108,ramones,4487
User 108,nirvana,3466
User 108,ac/dc,3241
User 108,queen,2633
User 108,the clash,2546
User 108,the rolling stones,2411
User 108,u2,2362
User 108,pink floyd,2014
User 108,marilyn manson,1727
User 108,metallica,1613
User 108,red hot chili peppers,1565
User 108,r.e.m.,1498
User 108,the doors,1405
User 108,foo fighters,1314
User 108,rise against,1279
User 108,the smashing pumpkins,1254
User 108,slipknot,1202
User 108,jack johnson,1157
User 108,bob dylan,1034
User 108,green day,1033
User 108,disturbed,1004
User 108,iron maiden,968
User 108,koЯn,928
User 109,moby,55373
User 109,björk,618
User 110,modest mouse,5967
User 110,death cab for cutie,4918
User 110,the cure,4441
User 110,the smiths,3954
User 110,led zeppelin,3743
User 110,sufjan stevens,3678
User 110,the beatles,3465
User 110,the shins,3442
User 110,r.e.m.,3307
User 110,tegan and sara,2647
User 110,bloc party,2395
User 110,the smashing pumpkins,2238
User 110,the rolling stones,2154
User 110,jack johnson,2097
User 110,david bowie,1994
User 110,belle and sebastian,1989
User 110,joy division,1845
User 110,radiohead,1644
User 111,nightwish,38070
User 111,metallica,6407
User 111,iron maiden,3847
User 111,ac/dc,3700
User 111,sonata arctica,1243
User 111,megadeth,1075
User 111,nirvana,676
User 111,in flames,432
User 111,queen,328
User 112,porcupine tree,5588
User 112,the beatles,5574
User 112,green day,5572
User 112,red hot chili peppers,5564
User 112,muse,5273
User 112,nirvana,4874
User 112,system of a down,4621
User 112,pink floyd,3656
User 112,placebo,2769
User 112,radiohead,2720
User 112,modest mouse,2051
User 112,rage against the machine,1468
User 112,arctic monkeys,805
User 112,queens of the stone age,752
User 112,foo fighters,744
User 112,daft punk,657
User 112,the cure,507
User 112,incubus,442
User 112,tool,429
User 112,bloc party,303
User 112,dream theater,301
User 112,u2,271
User 112,marilyn manson,124
User 112,nine inch nails,123
User 112,nofx,107
User 112,opeth,101
User 112,iron maiden,97
User 112,sigur rós,89
User 112,rammstein,85
User 112,nightwish,83
User 113,fall out boy,18607
User 113,jack johnson,12951
User 113,kanye west,11384
User 113,eminem,6870
User 113,system of a down,3134
User 113,coldplay,2746
User 114,nine inch nails,42984
User 114,the killers,2203
User 114,depeche mode,1650
User 114,queens of the stone age,1322
User 114,metallica,1084
User 114,tool,902
User 114,the cure,654
User 114,franz ferdinand,600
User 114,bloc party,598
User 114,interpol,582
User 114,system of a down,483
User 114,the rolling stones,404
User 114,linkin park,386
User 114,marilyn manson,362
User 114,the smiths,344
User 114,ramones,312
User 114,the clash,293
User 115,linkin park,41420
User 115,disturbed,6357
User 115,kanye west,2307
User 115,koЯn,2087
User 115,slipknot,1475
User 115,system of a down,485
User 115,evanescence,437
User 116,children of bodom,28385
User 116,iron maiden,4341
User 116,tool,3350
User 116,metallica,3230
User 116,disturbed,2271
User 116,slipknot,2246
User 116,björk,1996
User 116,a perfect circle,1949
User 116,nightwish,1766
User 116,rammstein,1591
User 116,pink floyd,1259
User 116,in flames,994
User 116,koЯn,954
User 117,bad religion,23053
User 117,arctic monkeys,14546
User 117,franz ferdinand,3288
User 117,the offspring,2485
User 117,rise against,2360
User 117,the strokes,1827
User 117,muse,1776
User 117,modest mouse,1187
User 117,nofx,1133
User 117,the beatles,978
User 117,foo fighters,742
User 117,system of a down,480
User 117,slipknot,448
User 118,ac/dc,17087
User 118,led zeppelin,9083
User 118,ramones,7697
User 118,the beatles,6106
User 118,the rolling stones,3338
User 118,foo fighters,1753
User 118,coldplay,1729
User 118,the smashing pumpkins,1628
User 118,u2,886
User 118,oasis,864
User 118,jack johnson,818
User 118,pink floyd,792
User 118,red hot chili peppers,665
User 118,the clash,568
User 118,nirvana,529
User 118,blink-182,522
User 119,metallica,22286
User 119,led zeppelin,9626
User 119,children of bodom,7334
User 119,the beatles,4785
User 119,megadeth,1976
User 119,iron maiden,1649
User 119,pink floyd,1302
User 119,disturbed,1015
User 119,linkin park,857
User 119,ac/dc,789
User 119,rage against the machine,631
User 119,system of a down,567
User 119,blink-182,527
User 119,daft punk,421
User 120,nofx,15371
User 120,incubus,3881
User 120,red hot chili peppers,3818
User 120,green day,3352
User 120,queens of the stone age,3168
User 120,disturbed,2342
User 120,the offspring,2153
User 120,foo fighters,2131
User 120,the strokes,2018
User 120,oasis,1938
User 120,ac/dc,1888
User 120,gorillaz,1765
User 120,the clash,1638
User 120,moby,1611
User 120,franz ferdinand,1457
User 120,r.e.m.,1368
User 120,nirvana,1319
User 120,daft punk,1186
User 120,coldplay,1110
User 121,system of a down,14465
User 121,queens of the stone age,12751
User 121,incubus,8616
User 121,muse,5222
User 121,arctic monkeys,3057
User 121,red hot chili peppers,1202
User 121,nirvana,978
User 121,jack johnson,963
User 121,the white stripes,715
User 121,foo fighters,702
User 121,the strokes,673
User 121,green day,551
User 121,the offspring,390
User 121,rage against the machine,389
User 121,pink floyd,367
User 121,the killers,316
User 121,gorillaz,277
User 121,koЯn,274
User 121,franz ferdinand,246
User 121,a perfect circle,198
User 121,the doors,182
User 121,pearl jam,158
User 121,metallica,122
User 121,nine inch nails,122
User 121,led zeppelin,98
User 121,oasis,97
User 121,the smashing pumpkins,86
User 121,bad religion,82
User 121,radiohead,54
User 122,johnny cash,9380
User 122,red hot chili peppers,5222
User 122,kings of leon,4448
User 122,interpol,3856
User 122,the kooks,3285
User 122,foo fighters,2972
User 122,arctic monkeys,2843
User 122,the offspring,2571
User 122,the rolling stones,2393
User 122,metallica,2316
User 122,death cab for cutie,2250
User 122,muse,2213
User 122,bloc party,1900
User 122,pearl jam,1879
User 122,franz ferdinand,1592
User 122,queens of the stone age,1590
User 122,bob dylan,1332
User 122,incubus,1309
User 123,system of a down,21865
User 123,my chemical romance,9767
User 123,the beatles,8345
User 123,rammstein,5178
User 123,muse,3703
User 123,placebo,2230
User 123,moby,453
User 123,the doors,448
User 123,blink-182,428
User 123,bob dylan,419
User 123,green day,257
User 123,radiohead,240
User 124,nine inch nails,16115
User 124,david bowie,8082
User 124,radiohead,4964
User 124,the smashing pumpkins,4276
User 124,tool,3414
User 124,queens of the stone age,3332
User 124,a perfect circle,2697
User 124,massive attack,1943
User 124,björk,1518
User 124,franz ferdinand,1375
User 124,red hot chili peppers,1176
User 124,bloc party,1107
User 124,gorillaz,1041
User 124,coldplay,926
User 124,system of a down,859
User 124,opeth,299
User 125,slipknot,13910
User 125,linkin park,12068
User 125,rise against,10914
User 125,my chemical romance,5461
User 125,koЯn,4963
User 125,daft punk,2423
User 125,system of a down,1662
User 125,the offspring,1585
User 126,porcupine tree,20942
User 126,muse,10786
User 126,nine inch nails,7329
User 126,portishead,5064
User 126,linkin park,4587
User 126,paramore,2293
User 126,massive attack,1326
User 126,gorillaz,420
User 126,metallica,186
User 127,modest mouse,13556
User 127,red hot chili peppers,5604
User 127,the killers,5103
User 127,incubus,3491
User 127,franz ferdinand,2936
User 127,depeche mode,2240
User 127,eminem,2204
User 127,death cab for cutie,2190
User 127,fall out boy,2102
User 127,gorillaz,1948
User 127,interpol,1889
User 127,beck,1814
User 127,my chemical romance,1795
User 127,green day,1733
User 127,coldplay,1656
User 127,foo fighters,1456
User 127,linkin park,1191
User 128,the beatles,11230
User 128,death cab for cutie,10665
User 128,beck,4048
User 128,red hot chili peppers,4031
User 128,radiohead,3764
User 128,bright eyes,3569
User 128,arcade fire,2806
User 128,modest mouse,2671
User 128,belle and sebastian,2427
User 128,gorillaz,2342
User 128,queen,2092
User 128,the shins,1732
User 128,the strokes,1492
User 129,pearl jam,42608
User 129,nirvana,1767
User 129,radiohead,1383
User 129,the strokes,791
User 129,green day,515
User 129,muse,433
User 129,megadeth,412
User 129,ac/dc,396
User 129,a perfect circle,333
User 129,koЯn,321
User 129,placebo,316
User 129,the smashing pumpkins,271
User 129,foo fighters,270
User 129,queen,265
User 129,porcupine tree,263
